"","X.","Year","Trap.site","Loc_name","Loc_geo","Start","End","Note","Event_total","Event_collared","Photographs","Films"
"1",1,2013,"C1_Avgarch","Avgarch Sar","UTM_0293344_4094200","2012-11-24","2013-11-02","SL_ext",7,1,120,0
"3",3,2013,"C2_Sast","Sast Jerav Pikdt","UTM_0304022_4088437","2013-01-02","2013-10-30","SL_ext",2,0,35,0
"4",4,2013,"C3_Sarkand","Hascht Bund","UTM_0285682_4090420","2013-03-08","2013-10-20","SL_ext",18,7,84,0
"5",5,2013,"C4_Paquoy_Shoopk","Shoopk","UTM_0277255_4093477","2013-05-24","2013-09-30","SL_ext",11,2,60,0
"6",6,2013,"C4_Paquoy","Yoopk_Nearsk_Hill","UTM_0275538_4093624","2012-10-16","2013-05-24","SL_ext",5,4,161,0
"7",7,2013,"C5_Ishmorgh","Kook_Serv_Sar","UTM_0270725_4090900","2012-10-18","2013-07-18","SL_ext",8,3,53,0
"8",8,2013,"C6_Sast","Wust Koo","UTM_0305274_4090158","2013-05-02","2013-07-10","SL_ext",1,0,6,0
"9",9,2013,"C7_Ishmorgh","Oh Jera Jerav","UTM_0271677_4091302","2012-12-02","2013-09-03","SL_ext",17,10,89,0
"10",10,2013,"C8_Ishmorgh","Arak Door","UTM_0273448_4090149","2012-11-10","2013-09-03","SL_ext",4,3,9,0
"11",11,2013,"C10_Avgarch","Coompeer Kook","UTM_0291039_4097905","2012-12-24","2013-11-02","SL_ext",4,0,49,0
"12",12,2013,"C12_Sast","Sast_Jerav","UTM_0304299_4090672","2012-11-22","2013-07-24","SL_ext",3,1,27,0
"13",13,2013,"C14_Pikut","Yenj Sar","UTM_0289770_4096098","2012-11-29","2013-08-10","SL_ext",6,1,115,0
"14",14,2013,"C15_Pigish","Praiy Pigish","UTM_0252421_4087003","2012-11-06","2013-11-06","SL_ext",5,0,63,0
"15",15,2013,"C16_Ishmorgh","Sorbook","UTM_0267955_4093771","2013-01-23","2013-10-24","SL_ext",4,1,42,0
"16",16,2013,"C17_Yzirk","Dasht_Sar","UTM_0265003_4092898","2012-10-31","2013-09-02","SL_ext",6,0,449,0
"17",17,2013,"C18_Khundud","Khundud_Jerav","UTM_0262944_4088904","2012-11-01","2013-11-10","SL_ext",21,5,277,0
"18",18,2013,"C19_Khundud","Gharf Ghlets","UTM_0263616_4090885","2012-12-15","2013-09-19","SL_ext",4,0,62,0
"19",19,2013,"C20_Yamit","Amal Wurdth","UTM_0258786_4089976","2012-11-01","2013-11-08","SL_ext",15,6,254,0
"20",20,2013,"C21_Yamit","Shoni Midiganz Thoor","UTM_0258080_4086963","2012-11-03","2013-11-08","SL_ext",4,0,155,0
"21",21,2013,"C22_Pigish","Shoopragah","UTM_0254230_4084956","2012-11-04","2013-11-05","SL_ext",18,2,147,0
"23",23,2013,"C24_Ragi_Jurem","Singow Thoor","UTM_0250404_4084788","2012-11-16","2013-11-04","SL_ext",12,0,343,0
"24",24,2013,"C25_Pigish","Devk","UTM_0248281_4082403","2012-11-16","2013-11-02","SL_ext",5,0,85,0
"25",25,2013,"C26_Pak","Sman","UTM_0280062_4095640","2012-10-13","2013-06-13","SL_ext",4,3,102,2
"26",26,2013,"C26_Wargand_Payan","Bodomistan","UTM_0237564_4074362","2013-06-03","2013-10-30","SL_ext",5,0,27,0
"27",27,2013,"C27_Ragi_Jurem","Kalacha","UTM_0247622_4079382","2012-11-14","2013-10-19","SL_ext",37,0,1248,0
"29",29,2013,"C28_Wargand","Ayloc_sar","UTM_0235307_4073058","2013-06-04","2013-10-30","SL_ext",5,0,81,0
"31",31,2013,"C30_Wargand_Payan","Jungle_Sar","UTM_0236136_4076523","2013-04-23","2013-08-30","SL_ext",1,0,3,0
"33",33,2013,"C32_Wargand_Bala","Klot_Sar","UTM_0240688_4077585","2012-11-12","2013-08-31","SL_ext",7,0,154,0
"36",36,2013,"C35_Avgarch","Ghalbil_Gaz","UTM_0295012_4093378","2012-11-14","2013-08-31","SL_ext",2,0,15,0
"38",38,2013,"C38_Paquoy","Khadog_Sar","UTM_0273637_4094462","2012-10-18","2013-10-30","SL_ext",4,2,68,0
"40",40,2013,"C41_Pak","Baj_Gardan","UTM_0280562_4093624","2013-05-23","2013-06-19","SL_ext",2,2,19,0
"41",41,2013,"C42_Pikut","Pikut_Jerav","UTM_0293371_4090670","2013-03-08","2013-06-20","SL_ext",2,0,21,0
"42",42,2013,"C45_Avgach","Sheld_Hill_Sar","UTM_0296181_4093181","2013-03-03","2013-10-08","SL_ext",6,0,86,0
"43",43,2013,"C46_Pak","Sman","UTM_0278963_4095034","2013-04-13","2013-10-06","SL_ext",5,4,49,0
