Encounter.catalogNumber,Name0.value,Side,Tail,Front,Quality,Juvenilles,Occurrence.occurrenceID,Encounter.decimalLatitude,Encounter.decimalLongitude,Encounter.locationID,Encounter.year,Encounter.month,Encounter.day,Encounter.hour,Encounter.minutes,Encounter.submitterOrganization,Encounter.submitterID,Encounter.genus,Encounter.specificEpithet
20bfc6cb-f40d-49d0-b671-27a6c2c57cd7,100,R,Y,,L,J,WakhanNP 564,36.971234,72.67845,C1_Avgarch,2012,10,18,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
06d4a442-f532-4769-a87e-2f19fdac5c55,101,L,,F,L,,WakhanNP 567,36.971234,72.67845,C1_Avgarch,2012,10,30,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
ef8523b0-1775-48b7-b6c3-50d216ec14e9,102,B,Y,,H,,WakhanNP 565,36.971234,72.67845,C1_Avgarch,2012,11,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
75314aa0-a9c1-46a9-8af6-26e01f6bfced,102,R,,F,H,,WakhanNP 566,36.971234,72.67845,C1_Avgarch,2012,11,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
37abd7ac-b3ad-48b1-b828-44e7f7ab88a6,102,L,,,M,,WakhanNP 568,36.971234,72.67845,C1_Avgarch,2012,11,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
61a6ebcc-9664-4de3-85cd-b61c918a3af4,102,L,,F,H,,WakhanNP 570,36.971234,72.67845,C1_Avgarch,2012,11,17,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
22065583-10a2-47a5-9248-c0ae204472a8,100,R,Y,,L,J,WakhanNP 572,37.004095,72.651549,C10_Avgarch,2012,10,30,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
d92dd389-dc30-45af-a062-795f1a76d19f,101,R,,F,M,,WakhanNP 572,37.004095,72.651549,C10_Avgarch,2012,11,1,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
98de54da-b180-4cb6-b981-35b5aaec8b1f,102,B,Y,F,H,,WakhanNP 574,37.004095,72.651549,C10_Avgarch,2012,11,18,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
7a5ae6a6-36fa-4014-8a4a-0f43fc9851eb,114,R,Y,,M,,WakhanNP 576,36.941796,72.802346,C12_Sast,2012,12,29,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
73ef18f3-140e-4e40-bd08-56db6fd1b3a8,101,B,,F,H,,WakhanNP 578,36.987537,72.637802,C14_Pikut,2012,11,8,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
1137ecaf-5832-4167-b0d7-f276118ce317,102,R,,F,M,,WakhanNP 579,36.987537,72.637802,C14_Pikut,2012,11,18,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
51754a23-7726-44b8-9eca-e2ec10316ee1,123,L,Y,,H,,WakhanNP 585,36.896558,72.221532,C15_Pigish,2013,1,29,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
9a7071f7-b909-4e6f-bebd-3d4daf5a76e0,110,R,Y,F,H,,WakhanNP 589,36.961453,72.393618,C16_Ishmorgh,2012,12,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
cfbebd8a-bf9b-49ec-bac9-ea18a6ececef,114,R,Y,,H,,WakhanNP 590,36.961453,72.393618,C16_Ishmorgh,2012,12,30,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
5f408f6b-187f-4ae7-9892-a263d43ff7db,110,L,,,H,,b2fe3c69-1011-4332-8a03-58333e90e45f,36.95286,72.360764,C17_Yzirk,2012,12,14,15,35,WCS Afghanistan,evebohnett,Panthera,uncia
b09329d0-32bc-455e-b249-68ebc6acc982,110,B,Y,F,H,,WakhanNP 593,36.95286,72.360764,C17_Yzirk,2012,12,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
2c5f5f56-eb3c-471b-8cda-c2e58b1a3cce,110,B,Y,F,H,,WakhanNP 598,36.95286,72.360764,C17_Yzirk,2012,12,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
05d85d4b-8e76-443c-96d5-7dff8fb76d57,110,B,Y,F,H,,WakhanNP 600,36.95286,72.360764,C17_Yzirk,2012,12,14,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
0cf45dd4-6ad2-441e-b3a1-96a959d4cfce,110,R,Y,,H,,WakhanNP 602,36.95286,72.360764,C17_Yzirk,2012,12,16,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
3388dd6d-1f3c-4a83-a462-f21b1521dcc7,110,L,Y,F,H,,WakhanNP 604,36.95286,72.360764,C17_Yzirk,2012,12,16,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
c39d3d70-94a5-4d32-9a87-9173ae423cd2,114,R,Y,,H,,WakhanNP 592,36.95286,72.360764,C17_Yzirk,2012,12,31,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
510c09ae-1ebf-4ffe-8c7e-0a56deb6cf2e,123,R,,F,H,,63f7de6e-29b7-48b6-92cc-272a4f4888b6,36.95286,72.360764,C17_Yzirk,2013,1,27,15,43,WCS Afghanistan,evebohnett,Panthera,uncia
9ba9afd5-1299-42bd-aaf9-55f80264be09,123,B,Y,,H,,WakhanNP 603,36.95286,72.360764,C17_Yzirk,2013,1,29,0,0,WCS Afghanistan,evebohnett,Panthera,uncia
5a0a654c-9fcc-40a6-a230-3b03190674e4,110,R,Y,,H,,45d7857c-ff6c-4acd-9561-2e1d6706c522,36.916379,72.338913,C18_Khundud,2012,12,9,17,43,WCS Afghanistan,evebohnett,Panthera,uncia
