"","Marked.Individual","date_Time","Location.ID","Side","Quality","Juvenilles","ID"
"1",100,2012-10-18,"C1_Avgarch","R","L","J",1
"2",102,2012-11-14,"C1_Avgarch","L","M","",3
"3",102,2012-11-14,"C1_Avgarch","B","H","",3
"4",102,2012-11-14,"C1_Avgarch","R","H","",3
"5",101,2012-10-30,"C1_Avgarch","L","L","",2
"6",102,2012-11-17,"C1_Avgarch","L","H","",3
"7",102,2012-11-18,"C10_Avgarch","B","H","",3
"8",100,2012-10-30,"C10_Avgarch","R","L","J",1
"9",101,2012-11-01,"C10_Avgarch","R","M","",2
"10",114,2012-12-29,"C12_Sast","R","M","",6
"11",101,2012-11-08,"C14_Pikut","B","H","",2
"12",102,2012-11-18,"C14_Pikut","R","M","",3
"13",123,2013-01-29,"C15_Pigish","L","H","",7
"14",114,2012-12-30,"C16_Ishmorgh","R","H","",6
"15",110,2012-12-14,"C16_Ishmorgh","R","H","",5
"16",110,2012-12-14,"C17_Yzirk","B","H","",5
"17",110,2012-12-14,"C17_Yzirk","L","H","",5
"18",110,2012-12-16,"C17_Yzirk","L","H","",5
"19",110,2012-12-14,"C17_Yzirk","B","H","",5
"20",110,2012-12-16,"C17_Yzirk","R","H","",5
"21",123,2013-01-29,"C17_Yzirk","B","H","",7
"22",123,2013-01-27,"C17_Yzirk","R","H","",7
"23",110,2012-12-14,"C17_Yzirk","B","H","",5
"24",114,2012-12-31,"C17_Yzirk","R","H","",6
"25",114,2013-01-05,"C18_Khundud","B","H","",6
"26",114,2013-01-01,"C18_Khundud","L","H","",6
"27",110,2012-12-21,"C18_Khundud","R","H","",5
"28",123,2013-01-30,"C18_Khundud","R","H","",7
"29",114,2012-12-31,"C18_Khundud","R","H","",6
"30",110,2012-12-21,"C18_Khundud","L","H","",5
"31",123,2013-01-30,"C18_Khundud","L","H","",7
"32",114,2012-12-31,"C18_Khundud","R","M","",6
"33",123,2013-01-30,"C18_Khundud","R","H","",7
"34",114,2013-01-01,"C18_Khundud","L","H","",6
"35",110,2012-12-16,"C18_Khundud","R","H","",5
"36",110,2012-12-22,"C18_Khundud","L","H","",5
"37",110,2012-12-16,"C18_Khundud","R","H","",5
"38",114,2012-12-31,"C18_Khundud","B","H","",6
"39",131,2013-02-17,"C18_Khundud","R","H","",9
"40",114,2013-01-06,"C18_Khundud","L","H","",6
"41",110,2012-12-21,"C18_Khundud","L","M","",5
"42",110,2012-12-17,"C18_Khundud","L","M","",5
"43",110,2012-12-16,"C18_Khundud","R","H","",5
"44",114,2012-12-31,"C18_Khundud","L","H","",6
"45",110,2012-12-09,"C18_Khundud","R","H","",5
"46",110,2012-12-14,"C18_Khundud","R","M","",5
"47",114,2013-01-01,"C18_Khundud","L","H","",6
"48",110,2012-12-22,"C19_Khundud","L","H","",5
"49",110,2012-12-24,"C19_Khundud","L","H","",5
"50",110,2012-12-25,"C19_Khundud","R","L","",5
"51",110,2012-12-25,"C19_Khundud","R","M","",5
"52",110,2012-12-25,"C19_Khundud","B","H","",5
"53",110,2012-12-24,"C19_Khundud","R","H","",5
"54",106,2012-12-05,"C2_Sast","B","H","",4
"55",106,2012-12-05,"C2_Sast","B","H","",4
"56",110,2012-12-25,"C20_Yamit","B","H","",5
"57",114,2013-01-09,"C20_Yamit","B","H","",6
"58",110,2012-12-25,"C20_Yamit","L","H","",5
"59",114,2013-01-08,"C20_Yamit","B","H","",6
"60",110,2012-12-25,"C20_Yamit","B","H","",5
"61",114,2013-01-10,"C20_Yamit","L","H","",6
"62",114,2013-01-10,"C20_Yamit","B","H","",6
"63",110,2012-12-25,"C20_Yamit","B","H","",5
"64",110,2012-12-25,"C20_Yamit","B","H","",5
"65",110,2012-12-25,"C20_Yamit","B","H","",5
"66",114,2013-01-08,"C20_Yamit","R","M","",6
"67",114,2013-01-08,"C20_Yamit","B","H","",6
"68",114,2013-01-11,"C20_Yamit","B","H","",6
"69",114,2013-01-08,"C20_Yamit","B","H","",6
"70",123,2013-02-01,"C20_Yamit","R","H","",7
"71",110,2012-12-28,"C21_Yamit","L","H","",5
"72",110,2012-12-26,"C21_Yamit","T","H","",5
"73",110,2012-12-27,"C21_Yamit","R","H","",5
"74",110,2012-12-26,"C21_Yamit","T","H","",5
"75",110,2012-12-25,"C21_Yamit","L","H","",5
"76",114,2013-01-11,"C21_Yamit","L","H","",6
"77",123,2013-02-02,"C21_Yamit","R","H","",7
"78",131,2013-02-17,"C21_Yamit","B","H","",9
"79",110,2012-12-25,"C21_Yamit","L","H","",5
"80",110,2012-12-28,"C21_Yamit","R","M","",5
"81",114,2013-01-13,"C22_Pigish","L","H","",6
"82",124,2013-02-09,"C22_Pigish","R","H","",8
"83",114,2013-01-13,"C22_Pigish","L","H","",6
"84",124,2013-02-06,"C24_Ragi_Jurem","B","H","",8
"85",124,2013-02-10,"C24_Ragi_Jurem","B","H","",8
"86",124,2013-02-02,"C25_Pigish","R","H","",8
"87",124,2013-02-12,"C25_Pigish","L","H","",8
"88",114,2013-01-13,"C26_Pak","R","H","",6
"89",138,2013-02-19,"C26_Wargand_Payan","B","H","",10
"90",138,2013-02-19,"C26_Wargand_Payan","L","M","",10
"91",124,2013-02-15,"C27_Ragi_Jurem","B","H","",8
"92",138,2013-02-22,"C28_Wargand","R","M","",10
"93",138,2013-02-21,"C28_Wargand","R","H","",10
"94",138,2013-02-23,"C28_Wargand","R","H","",10
"95",138,2013-02-22,"C28_Wargand","R","H","",10
"96",102,2012-11-18,"C3_Sarkand","L","H","",3
"97",102,2012-11-18,"C3_Sarkand","T","H","",3
"98",102,2012-11-18,"C3_Sarkand","B","H","",3
"99",114,2013-01-14,"C3_Sarkand","R","H","",6
"100",102,2012-11-24,"C3_Sarkand","B","H","",3
"101",114,2013-01-14,"C3_Sarkand","L","H","",6
"102",102,2012-11-18,"C3_Sarkand","B","H","",3
"103",114,2013-01-14,"C3_Sarkand","R","H","",6
"104",102,2012-11-24,"C3_Sarkand","B","H","",3
"105",114,2013-01-14,"C3_Sarkand","R","H","",6
"106",114,2013-01-14,"C3_Sarkand","B","H","",6
"107",114,2013-01-14,"C3_Sarkand","L","H","",6
"108",102,2012-11-18,"C3_Sarkand","L","H","",3
"109",114,2013-01-14,"C3_Sarkand","L","H","",6
"110",102,2012-11-18,"C3_Sarkand","L","H","",3
"111",114,2013-01-14,"C3_Sarkand","L","H","",6
"112",114,2013-01-14,"C3_Sarkand","L","H","",6
"113",138,2013-02-24,"C30_Wargand_Payan","R","H","",10
"114",124,2013-02-17,"C32_Wargand_Bala","B","H","",8
"115",102,2012-11-26,"C35_Avgarch","L","H","",3
"116",102,2012-11-29,"C35_Avgarch","L","M","",3
"117",102,2012-11-29,"C38_Paquoy","F","L","",3
"118",114,2013-01-14,"C38_Paquoy","L","","",6
"119",114,2013-01-16,"C38_Paquoy","B","M","",6
"120",114,2013-01-16,"C38_Paquoy","R","H","",6
"121",114,2013-01-16,"C4_Paquoy","B","H","",6
"122",102,2012-11-29,"C4_Paquoy_Shoopk","F","H","",3
"123",124,2013-02-17,"C4_Paquoy_Shoopk","R","H","",8
"124",102,2012-11-30,"C4_Paquoy_Shoopk","F","M","",3
"125",123,2013-02-02,"C4_Paquoy_Shoopk","L","M","",7
"126",102,2012-12-02,"C41_Pak","F","H","",3
"127",102,2012-12-03,"C42_Pikut","L","M","",3
"128",101,2012-11-11,"C42_Pikut","L","L","",2
"129",101,2012-11-13,"C42_Pikut","R","M","",2
"130",102,2012-12-03,"C45_Avgach","R","M","",3
"131",106,2012-12-05,"C45_Avgach","R","H","",4
"132",102,2012-12-03,"C45_Avgach","L","M","",3
"133",102,2012-12-05,"C45_Avgach","B","M","",3
"134",102,2012-12-03,"C45_Avgach","L","H","",3
"135",110,2012-12-28,"C46_Pak","B","H","",5
"136",114,2013-01-17,"C46_Pak","L","H","",6
"137",114,2013-01-17,"C46_Pak","R","H","",6
"138",114,2013-01-17,"C46_Pak","R","H","",6
"139",114,2013-01-16,"C46_Pak","L","H","",6
"140",114,2013-01-17,"C5_Ishmorgh","B","H","",6
"141",114,2013-01-17,"C5_Ishmorgh","R","H","",6
"142",114,2013-01-17,"C5_Ishmorgh","B","H","",6
"143",106,2012-12-05,"C6_Sast","B","H","",4
"144",114,2013-01-20,"C7_Ishmorgh","L","H","",6
"145",114,2013-01-24,"C7_Ishmorgh","B","H","",6
"146",114,2013-01-20,"C7_Ishmorgh","T","H","",6
