"","Location.ID","Marked.Individual","date_Time","Side","Quality","Juvenilles","X","Y"
"1","C1_Avgarch",100,2012-10-18,"R","L","J",293344.037651828,4094200.01216457
"2","C1_Avgarch",102,2012-11-14,"L","M","",293344.037651828,4094200.01216457
"3","C1_Avgarch",102,2012-11-14,"B","H","",293344.037651828,4094200.01216457
"4","C1_Avgarch",102,2012-11-14,"R","H","",293344.037651828,4094200.01216457
"5","C1_Avgarch",101,2012-10-30,"L","L","",293344.037651828,4094200.01216457
"6","C1_Avgarch",102,2012-11-17,"L","H","",293344.037651828,4094200.01216457
"7","C10_Avgarch",102,2012-11-18,"B","H","",291039.003827972,4097904.96852563
"8","C10_Avgarch",100,2012-10-30,"R","L","J",291039.003827972,4097904.96852563
"9","C10_Avgarch",101,2012-11-01,"R","M","",291039.003827972,4097904.96852563
"10","C12_Sast",114,2012-12-29,"R","M","",304299.003250454,4090671.95436698
"11","C14_Pikut",101,2012-11-08,"B","H","",289770.02083625,4096097.98849579
"12","C14_Pikut",102,2012-11-18,"R","M","",289770.02083625,4096097.98849579
"13","C15_Pigish",123,2013-01-29,"L","H","",252421.032824768,4087002.9564929
"14","C16_Ishmorgh",114,2012-12-30,"R","H","",267955.003361487,4093770.95481445
"15","C16_Ishmorgh",110,2012-12-14,"R","H","",267955.003361487,4093770.95481445
"16","C17_Yzirk",110,2012-12-14,"B","H","",265003.026842856,4092898.01066486
"17","C17_Yzirk",110,2012-12-14,"L","H","",265003.026842856,4092898.01066486
"18","C17_Yzirk",110,2012-12-16,"L","H","",265003.026842856,4092898.01066486
"19","C17_Yzirk",110,2012-12-14,"B","H","",265003.026842856,4092898.01066486
"20","C17_Yzirk",110,2012-12-16,"R","H","",265003.026842856,4092898.01066486
"21","C17_Yzirk",123,2013-01-29,"B","H","",265003.026842856,4092898.01066486
"22","C17_Yzirk",123,2013-01-27,"R","H","",265003.026842856,4092898.01066486
"23","C17_Yzirk",110,2012-12-14,"B","H","",265003.026842856,4092898.01066486
"24","C17_Yzirk",114,2012-12-31,"R","H","",265003.026842856,4092898.01066486
"25","C18_Khundud",114,2013-01-05,"B","H","",262943.968841005,4088904.025594
"26","C18_Khundud",114,2013-01-01,"L","H","",262943.968841005,4088904.025594
"27","C18_Khundud",110,2012-12-21,"R","H","",262943.968841005,4088904.025594
"28","C18_Khundud",123,2013-01-30,"R","H","",262943.968841005,4088904.025594
"29","C18_Khundud",114,2012-12-31,"R","H","",262943.968841005,4088904.025594
"30","C18_Khundud",110,2012-12-21,"L","H","",262943.968841005,4088904.025594
"31","C18_Khundud",123,2013-01-30,"L","H","",262943.968841005,4088904.025594
"32","C18_Khundud",114,2012-12-31,"R","M","",262943.968841005,4088904.025594
"33","C18_Khundud",123,2013-01-30,"R","H","",262943.968841005,4088904.025594
"34","C18_Khundud",114,2013-01-01,"L","H","",262943.968841005,4088904.025594
"35","C18_Khundud",110,2012-12-16,"R","H","",262943.968841005,4088904.025594
"36","C18_Khundud",110,2012-12-22,"L","H","",262943.968841005,4088904.025594
"37","C18_Khundud",110,2012-12-16,"R","H","",262943.968841005,4088904.025594
"38","C18_Khundud",114,2012-12-31,"B","H","",262943.968841005,4088904.025594
"39","C18_Khundud",131,2013-02-17,"R","H","",262943.968841005,4088904.025594
"40","C18_Khundud",114,2013-01-06,"L","H","",262943.968841005,4088904.025594
"41","C18_Khundud",110,2012-12-21,"L","M","",262943.968841005,4088904.025594
"42","C18_Khundud",110,2012-12-17,"L","M","",262943.968841005,4088904.025594
"43","C18_Khundud",110,2012-12-16,"R","H","",262943.968841005,4088904.025594
"44","C18_Khundud",114,2012-12-31,"L","H","",262943.968841005,4088904.025594
"45","C18_Khundud",110,2012-12-09,"R","H","",262943.968841005,4088904.025594
"46","C18_Khundud",110,2012-12-14,"R","M","",262943.968841005,4088904.025594
"47","C18_Khundud",114,2013-01-01,"L","H","",262943.968841005,4088904.025594
"48","C19_Khundud",110,2012-12-22,"L","H","",263616.014059604,4090884.99108663
"49","C19_Khundud",110,2012-12-24,"L","H","",263616.014059604,4090884.99108663
"50","C19_Khundud",110,2012-12-25,"R","L","",263616.014059604,4090884.99108663
"51","C19_Khundud",110,2012-12-25,"R","M","",263616.014059604,4090884.99108663
"52","C19_Khundud",110,2012-12-25,"B","H","",263616.014059604,4090884.99108663
"53","C19_Khundud",110,2012-12-24,"R","H","",263616.014059604,4090884.99108663
"54","C2_Sast",106,2012-12-05,"B","H","",304021.961679614,4088436.97463339
"55","C2_Sast",106,2012-12-05,"B","H","",304021.961679614,4088436.97463339
"56","C20_Yamit",110,2012-12-25,"B","H","",258786.010260881,4089975.9840029
"57","C20_Yamit",114,2013-01-09,"B","H","",258786.010260881,4089975.9840029
"58","C20_Yamit",110,2012-12-25,"L","H","",258786.010260881,4089975.9840029
"59","C20_Yamit",114,2013-01-08,"B","H","",258786.010260881,4089975.9840029
"60","C20_Yamit",110,2012-12-25,"B","H","",258786.010260881,4089975.9840029
"61","C20_Yamit",114,2013-01-10,"L","H","",258786.010260881,4089975.9840029
"62","C20_Yamit",114,2013-01-10,"B","H","",258786.010260881,4089975.9840029
"63","C20_Yamit",110,2012-12-25,"B","H","",258786.010260881,4089975.9840029
"64","C20_Yamit",110,2012-12-25,"B","H","",258786.010260881,4089975.9840029
"65","C20_Yamit",110,2012-12-25,"B","H","",258786.010260881,4089975.9840029
"66","C20_Yamit",114,2013-01-08,"R","M","",258786.010260881,4089975.9840029
"67","C20_Yamit",114,2013-01-08,"B","H","",258786.010260881,4089975.9840029
"68","C20_Yamit",114,2013-01-11,"B","H","",258786.010260881,4089975.9840029
"69","C20_Yamit",114,2013-01-08,"B","H","",258786.010260881,4089975.9840029
"70","C20_Yamit",123,2013-02-01,"R","H","",258786.010260881,4089975.9840029
"71","C21_Yamit",110,2012-12-28,"L","H","",258079.977494274,4086963.00840798
"72","C21_Yamit",110,2012-12-26,"T","H","",258079.977494274,4086963.00840798
"73","C21_Yamit",110,2012-12-27,"R","H","",258079.977494274,4086963.00840798
"74","C21_Yamit",110,2012-12-26,"T","H","",258079.977494274,4086963.00840798
"75","C21_Yamit",110,2012-12-25,"L","H","",258079.977494274,4086963.00840798
"76","C21_Yamit",114,2013-01-11,"L","H","",258079.977494274,4086963.00840798
"77","C21_Yamit",123,2013-02-02,"R","H","",258079.977494274,4086963.00840798
"78","C21_Yamit",131,2013-02-17,"B","H","",258079.977494274,4086963.00840798
"79","C21_Yamit",110,2012-12-25,"L","H","",258079.977494274,4086963.00840798
"80","C21_Yamit",110,2012-12-28,"R","M","",258079.977494274,4086963.00840798
"81","C22_Pigish",114,2013-01-13,"L","H","",254229.980044144,4084956.02395972
"82","C22_Pigish",124,2013-02-09,"R","H","",254229.980044144,4084956.02395972
"83","C22_Pigish",114,2013-01-13,"L","H","",254229.980044144,4084956.02395972
"84","C24_Ragi_Jurem",124,2013-02-06,"B","H","",250403.979840595,4084788.03990451
"85","C24_Ragi_Jurem",124,2013-02-10,"B","H","",250403.979840595,4084788.03990451
